GT,Result
268145 363012 631215 214469 453231 411739 323414 943514 240485 585389 ,810592 864434 131493 180937 20037 725555 139356 545510 76188 185976 
822117 834734 97230 61303 467931 89419 105156 978846 238759 1808 ,238759 822117 1808 834734 97230 524825 61303 883321 791692 435707 
444790 352465 903852 57748 375303 730020 850970 986313 158755 551089 ,889259 895408 890288 754322 533698 807423 889887 895829 754776 44075 
256404 357730 229136 100496 944559 16722 530580 698478 392641 348882 ,185885 656727 83764 83454 941799 460709 657735 630740 159375 751042 
614134 986900 531690 848871 198529 473460 404407 692000 251462 370847 ,678979 702656 60778 656152 857718 842092 472513 678631 852158 641618 
136532 788491 242816 83127 616326 531166 141015 380247 59183 364259 ,895865 364960 502284 305277 416571 77736 317898 322639 727978 943096 
513843 66219 748477 10497 659552 251926 72746 489837 933867 483155 ,70613 262381 379823 514750 390315 104694 85064 192791 364498 462665 
6839 3748 182200 742202 515241 221542 508727 113221 742820 756978 ,774838 985893 963400 780594 522092 449333 691256 404105 272381 23451 
485024 509335 445473 551587 907820 256352 196344 169012 834247 952494 ,162471 991564 757962 147965 375512 147960 19800 46329 46670 300470 
463411 947494 267829 434509 70116 415294 865883 304992 627915 8828 ,656316 426874 651935 186401 659911 948472 59428 374670 771590 648286 
30466 16722 566262 267829 710408 254928 1550 617177 504946 8828 ,678943 795599 20311 244059 622083 918436 633456 329021 631159 174862 
478377 842271 450451 531690 239676 588387 848871 128847 130138 686794 ,753216 931092 916639 997068 963176 989185 142075 764231 362505 239676 
835409 726378 237971 407077 822529 503782 124587 596478 808739 524605 ,942368 128017 902596 683427 611206 693333 263027 281518 67984 277167 
177163 388863 429409 926940 283059 739188 24905 128601 89804 696029 ,325214 953436 478322 953454 463640 234612 556439 97370 838797 323651 
91764 678831 788517 351072 591386 620467 138301 991973 325524 149348 ,785983 618998 557894 629393 91764 939753 327191 974366 127302 480646 
844912 69943 624125 685633 295173 756170 848913 562260 267194 128262 ,933320 216183 608337 496004 967835 971446 452116 901641 494701 965616 
136532 513843 30466 94099 982370 254928 748630 234553 510313 18684 ,728778 511728 841938 210688 732523 907895 257139 182988 821294 17703 
30466 72746 254928 530580 742221 732405 992808 617177 386729 136532 ,183089 234999 477833 488006 65141 438449 220094 275429 10179 604831 
267592 184147 748238 269044 71193 843671 879734 289551 487024 315745 ,515906 109762 703496 551350 580944 267592 541623 199730 988390 100253 
933667 573929 675487 884537 875225 746488 181593 436046 804732 584882 ,105799 196726 592470 147146 311678 391186 88753 934095 176516 990981 
531690 162053 665116 43808 450451 201687 361533 333414 785957 475629 ,102169 229884 152414 709884 344677 573741 520434 632492 965667 969066 
80957 944559 941538 530766 65434 636826 863520 978504 519715 275416 ,48961 718974 803775 863520 182160 978504 519715 275416 59524 620866 
603291 236483 884537 254853 565024 341595 125260 625963 345891 677012 ,632550 933667 391386 790167 661143 402303 845087 183527 327215 552849 
509335 450451 842271 361119 17073 888133 370847 578043 318800 369124 ,433041 917135 885995 618007 918887 743527 118668 56520 100373 17073 
488761 8828 254928 159472 45568 521531 432879 892496 413869 837689 ,159472 521531 80640 123970 413869 837689 718974 475776 488761 661700 
254067 242673 407157 823546 514180 592037 214485 316653 662494 305380 ,365895 470539 392221 780116 292571 529143 525185 528402 151153 190431 
338599 588387 214355 854364 79340 531690 614134 706409 513602 862967 ,14951 598958 721200 61978 741660 778742 911787 9501 324254 204603 
498876 485024 204361 226459 842271 343295 503698 106335 679073 66379 ,485837 955816 277143 597427 532665 286695 531703 600309 24929 432087 
459034 501108 351913 33657 742221 327424 308637 698478 437003 417112 ,509862 397083 188237 281254 117032 719771 830984 841233 460857 453510 
617177 513843 30466 267829 332869 289288 61303 122732 228401 426663 ,450895 280351 281256 497899 450541 633110 33357 322918 365357 279950 
116588 62879 683922 686539 901547 515822 726954 563015 944814 695051 ,182924 748290 106889 206339 711579 393022 122860 834915 961709 853621 
297000 289288 172317 61303 71003 354003 30466 275343 232811 699830 ,407583 785780 720837 250796 279208 153578 127726 859105 484077 806242 
558671 608670 415294 672708 550494 271305 758679 367412 196950 947494 ,647305 649832 782094 713761 656550 650655 650404 713723 681214 218163 
132586 765499 231164 842271 366874 771691 338599 679666 817970 588387 ,15702 45312 259006 274474 506830 206339 12546 967424 137584 358328 
294597 520877 82749 332869 645524 32352 122732 509326 784965 401820 ,735639 238589 341247 876720 238406 93244 94926 952863 865271 500447 
115119 97988 834280 395067 765753 932948 739013 394198 710129 245112 ,394198 339005 928144 739448 534245 165497 871717 881103 353631 76218 
733508 687797 433827 389930 314703 30666 741688 944898 610200 398341 ,740775 690641 487695 776107 571569 152009 206893 728257 679965 727747 
196477 899737 72365 858473 864657 502746 505259 480511 503698 572878 ,209887 554898 923129 166335 64645 399204 166313 196477 478463 915733 
822117 386729 966787 33657 232811 326715 519715 608670 152775 30245 ,229563 83381 720869 845813 19468 267337 903290 822117 404127 402428 
768341 627915 255306 385015 309759 774324 354462 426663 236962 609211 ,958327 810363 879258 766028 186807 816801 412309 958321 899225 657744 
318800 396416 509335 770844 531690 500558 450451 128847 394319 128555 ,19218 693447 377211 485695 771349 988630 770994 682926 347271 975567 
485024 588387 106335 986900 494831 888133 201687 627330 62879 614134 ,704637 679297 623398 933070 870365 751559 171926 746941 441575 973366 
318800 450451 614134 251462 62879 842271 978892 979419 729289 500558 ,796440 270814 375720 225248 335909 242236 37374 226240 780836 823522 
30791 489367 748442 309342 905822 369109 908041 789575 554278 958291 ,691631 659880 796196 261706 751990 907750 61438 80170 293352 416511 
62879 988925 201687 986900 842271 579670 361533 62798 98602 854804 ,71173 456535 59894 129518 462652 495900 524606 714246 155816 484159 
842271 296299 62879 500558 612801 343295 990135 632337 130138 979419 ,195411 228808 398861 827596 664905 475402 628628 478755 338616 141077 
317595 710588 441438 209286 842271 836748 986900 381770 854804 302038 ,233503 632485 421803 822718 201671 771594 436532 597081 874215 243550 
16722 1550 377767 346521 824226 307622 330905 564467 152566 530580 ,89340 261198 205617 586003 550746 699452 275384 86109 343075 134030 
615364 30466 1550 617177 234553 18684 234162 733343 495030 824226 ,149803 273598 607012 615364 789357 779194 330905 203759 289240 297931 
770844 198529 275699 12992 625135 370847 531690 450451 646045 413755 ,967966 180596 527243 319755 691353 963074 209050 1580 949530 385762 
748630 742221 342660 71787 204546 617177 513843 509326 30466 254928 ,351731 346142 177802 159926 433411 364152 157578 237857 237976 547719 
80761 739188 607291 379313 5373 735231 566318 566603 523319 716136 ,808430 514144 293666 151324 518416 524630 140883 262073 442033 432626 
67119 386729 326715 479709 356908 664567 80957 894096 772495 753491 ,664073 396463 274138 779194 324709 797319 622533 659586 243670 524222 
72746 530580 30466 32352 83127 136532 772671 788491 735939 569402 ,9845 43800 225621 320072 112384 492152 321108 84273 270514 861177 
781572 614134 986900 812069 288194 531690 842271 828035 361119 927850 ,65206 701336 555774 413380 807489 559905 425915 779138 754488 951595 
172317 136532 970760 210926 83127 414491 446957 30466 911677 576236 ,785437 642299 24033 642295 642995 905736 642506 785586 644619 717896 
60379 395782 895459 987336 614134 574887 227039 812069 978892 34239 ,439594 987336 819758 60379 227039 563332 388463 395782 950232 692747 
710408 921035 336859 8828 488761 26029 627915 426663 16722 509712 ,934585 380180 857271 215760 374985 730072 852918 847624 350706 536061 
100496 824226 636826 89419 933947 834734 488761 8828 604296 467326 ,654592 905634 53861 656716 654563 667324 955593 837446 122928 446176 
944559 100496 513843 66219 650214 915223 293725 805122 719517 636826 ,508353 186337 294648 422764 903322 38637 638513 428251 609122 710288 
882373 285118 738336 862727 335137 210588 11695 346978 645175 349356 ,124337 256810 3179 170438 680764 896147 895791 861763 896264 455226 
770844 12992 961427 625135 128262 885289 975703 835957 288592 250506 ,251713 543528 345438 954435 752299 85018 270550 786545 401529 851038 
553407 742221 668752 283158 784965 629929 249336 982370 522276 944559 ,822631 813244 778856 971783 794147 661265 11031 141815 368070 196336 
925353 830377 831320 605523 555355 248568 270078 775404 784605 853449 ,186714 186677 198466 178327 809567 197356 276172 784593 393053 194541 
18684 784190 249055 30466 99169 748630 249336 179118 709230 597526 ,305866 406166 523925 555793 303886 682415 594390 385591 337071 568262 
812069 614134 733435 666199 994256 892316 32826 767219 96656 111602 ,890468 284676 889772 899393 253438 239957 216984 374075 848079 830039 
128857 592639 109991 390167 653827 764138 369851 37750 788540 713177 ,683701 896319 988174 636180 818963 461753 61328 912833 126323 260154 
504946 905660 921035 414656 30466 16722 490079 500480 488761 659552 ,874740 43852 654963 536566 655102 953335 656718 445793 112580 538606 
710157 916168 538922 996813 930192 39164 891729 839711 703677 771616 ,186514 186341 777525 445197 445965 958342 641908 42101 666684 808778 
448322 59866 522276 362577 168062 925064 391872 376277 41065 143942 ,572667 663664 653140 925064 918133 607523 972691 28156 822132 304643 
518414 828420 608106 491474 881784 478168 82090 490079 17609 110783 ,237219 351143 719086 575789 753787 336946 781561 781145 630468 213011 
924945 244737 773853 178740 548004 467931 251434 107631 241691 943597 ,548812 440656 954839 977087 647034 677082 494636 727707 115107 378935 
811321 343857 829853 902537 57748 729289 509335 539828 764138 793605 ,54343 501001 406992 902537 441648 210481 48273 57748 108555 236533 
848871 854364 626296 901547 827499 102818 450451 490300 394089 692000 ,540 987757 988903 863707 219457 924784 861973 988768 237933 871632 
43073 872229 278936 510313 535070 466918 294597 71787 271375 685910 ,59085 431346 869019 334888 232689 169845 135916 510431 262114 971887 
343295 62879 268539 842271 304564 62798 596403 296299 92085 498876 ,537379 40200 128205 492710 512058 852468 379791 485984 793789 268539 
100496 513843 355017 416141 119615 364938 304992 124591 187652 59029 ,469869 52135 351364 640641 236818 880087 432469 979794 216446 600989 
122569 472834 562527 80315 89539 934901 225694 468732 774931 179034 ,13039 426154 752570 966996 967327 933025 13523 752369 884852 248732 
899161 357654 62798 391254 92085 856836 671643 404567 369124 62879 ,635193 357654 901632 50176 336406 55650 718422 743601 743815 267670 
828891 500558 128847 340517 782645 644849 185345 99554 870441 836748 ,955366 99554 380718 96014 929738 141887 276612 13949 224864 73447 
310694 376357 627677 32002 773236 527344 650545 874363 628479 43774 ,789320 56276 660632 42152 701492 55811 596110 483727 760198 66922 
531690 184589 944197 770844 450451 15692 198529 2763 228545 625980 ,61132 61775 209603 604975 527624 354918 208712 518828 198728 850174 
140973 194844 262629 230255 230030 237004 70116 553407 620637 560985 ,351689 795401 535819 65601 194404 64706 681405 470545 384232 790447 
136532 531166 377580 414491 616326 30245 788491 83127 364259 554870 ,226481 480425 338034 422045 159001 72818 192533 208836 830234 95819 
168062 267829 30466 18684 426463 308191 376277 639756 929942 68416 ,426515 427283 305537 325463 905059 515483 232665 363475 363509 75460 
530580 30466 18684 416441 377767 32352 234162 16722 216541 566262 ,348385 987506 2926 840031 603571 834071 305155 527456 820848 185640 
649264 518085 350500 824226 566262 381037 649668 259902 315308 16722 ,875413 339978 336691 690086 258217 925931 741783 251824 253568 347077 
50343 130238 366551 44289 148941 764138 57748 850970 882623 117878 ,712875 215401 879209 196605 442208 241203 418979 930296 613938 838466 
669385 895459 542766 544048 487534 935263 781798 397982 642002 389726 ,669385 895459 919820 131153 542766 880054 956478 870009 436093 902934 
204361 850981 987336 842271 66379 829884 288604 827671 765499 132586 ,66093 519305 938302 277222 1131 274531 165633 14496 765737 10270 
62879 972167 370704 888133 596512 369124 17073 686539 842271 369851 ,944238 245750 619459 14793 20942 635998 392896 369851 3123 236669 
726954 583362 978892 395116 331722 333414 614134 960991 2232 62879 ,283598 989472 74339 332118 387425 198457 134227 977829 972982 923653 
100496 636826 229136 576153 8828 818313 234553 698478 513843 530580 ,385891 180430 385982 386503 144871 131714 178483 350860 337368 324917 
514785 343295 848913 823305 612801 927154 890152 911531 208905 239556 ,226065 241518 64532 749020 681566 909581 705126 256663 230119 514988 
915316 683822 949517 617177 689949 30466 267829 37424 159032 914620 ,814585 914620 52799 878389 793324 282823 652241 410856 934598 663045 
636826 979573 388460 915141 305583 142141 864405 100496 527344 667048 ,760869 849957 979857 814844 540807 979811 682263 80831 951874 697082 
740151 269869 629111 392012 457037 715015 469899 905822 379827 309546 ,250877 343284 841520 174900 289020 398829 731079 364940 733156 550471 
924645 588387 411391 62879 268264 828891 130138 338599 125260 739013 ,471219 554144 979562 92501 147375 593033 904620 507371 551093 108781 
742221 72746 849653 136532 861433 531364 172317 429704 576153 979573 ,747432 977122 242155 323632 323841 777600 86498 162256 56856 659647 
645524 415294 8828 929691 420148 684636 336867 295957 540129 861138 ,262305 379342 536360 175484 312651 375954 701265 21915 770264 606753 
788310 332869 699830 216541 329385 289288 459547 48537 514088 820732 ,560726 531364 189435 719200 48537 604110 306072 788310 514088 820732 
695386 40545 973305 689934 114414 227186 905822 126302 568726 645270 ,188995 189140 188936 236994 227307 757326 714214 36751 237968 25952 
69737 107401 606155 401064 430202 382450 301347 527636 748494 988072 ,622520 30525 977048 439376 435485 924057 729160 69737 198225 277041 
128847 842271 103078 653581 553283 197038 402720 526561 417155 296299 ,967069 681009 696197 182004 795819 792064 229834 929492 878212 395379 
19375 662784 231851 73267 283590 633608 796361 987846 816963 519682 ,188852 188915 188844 40571 188879 340073 912138 188894 114793 704627 
414491 99819 386729 66421 432858 772495 518504 960161 201000 629929 ,272545 777143 60223 449585 39851 797396 597172 6366 514341 754129 
426663 267829 627915 385767 247417 774324 782435 931528 247272 68720 ,210997 637326 127253 965399 732962 281543 612128 24792 685109 738458 
821116 513843 459034 896485 94911 734611 165424 5112 149762 981167 ,61354 346012 59203 234730 322813 168705 434509 529143 465604 439697 
128848 20089 521855 729540 168903 121959 500150 631452 9345 123966 ,637879 128848 143074 466722 341824 20089 928174 248013 724518 389930 
527344 627800 390187 979573 267829 455900 605271 178042 5712 654803 ,678540 122672 280540 718897 947281 932523 964639 966310 715434 233946 
528918 667048 527344 16722 698478 927095 267829 353465 650539 627800 ,445206 444883 355890 606171 995340 810041 24552 140754 869242 134410 
569815 426663 609211 5373 642464 974190 267829 236962 933947 448094 ,263498 426786 637059 820554 974387 656510 130925 539565 449277 5712 
991100 370024 160296 781339 996213 272881 738317 219653 609766 249336 ,349017 258831 233936 665898 356855 780044 662919 244500 359390 27757 
244168 414491 120094 518504 635099 516549 41287 128601 362577 903273 ,933412 139999 997991 637997 781781 265651 718854 824463 390950 181043 
324334 486381 242627 416441 279228 18684 178584 75460 734859 518344 ,305612 523092 279733 469673 777222 292434 292185 536016 227993 337611 
911677 659613 664567 210926 531364 414491 518504 525240 554870 894693 ,853797 147034 717722 316773 541026 520450 718305 869803 423255 355296 
172317 820658 659613 446957 249336 210926 911677 30466 62407 315308 ,766138 822413 995033 390793 569451 826443 423134 599853 601746 373468 
910811 865594 62407 362577 772495 664567 949715 315308 414491 42353 ,769347 381408 812745 959672 890193 497588 722563 773892 42353 465685 
421643 527344 884704 823535 686744 442402 216216 5712 628014 714019 ,51567 729998 82975 340338 957084 5788 537403 83080 601056 640221 
16722 8828 824226 636826 309759 267829 204546 979573 627915 513843 ,609892 311669 883093 288758 845451 609783 303295 656519 30904 846914 
225129 781572 603259 120651 598413 404247 943073 943126 854174 2232 ,936807 569977 774471 154878 492351 318187 16816 913712 6185 972378 
49743 547707 881470 14571 782861 457336 454753 934166 342490 655685 ,556620 555599 792718 120657 199546 9655 154146 941212 24506 539734 
522276 451109 427518 623333 31078 773057 948491 376277 419871 83901 ,271758 788326 15805 94481 242008 168995 129220 663374 153059 739139 
488761 204546 8828 16722 636826 824226 915141 100496 527344 667048 ,414029 429355 337674 662002 375101 645178 426658 536063 861463 201060 
524651 122216 549382 82241 335161 317898 292631 742912 194072 85199 ,991872 328528 530688 940987 293832 507228 834505 616880 16793 896715 
332869 742221 513843 896485 290740 72746 285731 30466 949715 389930 ,949276 34906 504763 355012 549785 523589 579570 185703 914026 205445 
98602 333494 781572 434873 627330 251462 300996 361119 901547 521126 ,281073 336172 696032 312975 543282 635461 684963 701809 401365 259114 
842271 778998 258339 288194 219386 765499 978435 742244 212569 407627 ,414114 474713 368782 552102 907670 540698 873830 714107 697003 753212 
405428 560940 625276 986900 288194 614134 812069 943073 187727 474286 ,854572 955101 480781 101339 833310 235968 539677 224777 217218 847659 
432879 698478 254928 136532 463411 30466 18684 71003 459034 944559 ,309325 694167 210990 245348 806344 700243 770753 432487 613366 921413 
204546 944559 100496 513843 385015 351913 61303 416141 228401 467931 ,421861 462955 529072 105244 684161 754254 621413 496652 473369 698362 
979573 824226 636826 627915 959687 878841 72746 558840 826998 293725 ,816466 816052 816520 777071 817446 777125 570877 959746 886273 890738 
96003 944559 821116 893448 322896 737293 153329 599662 772671 81546 ,534605 525830 686262 552306 875411 939229 267581 534684 876060 726588 
165912 858867 946695 435329 942473 329655 870441 106335 692000 395083 ,456111 34265 653244 863745 28794 77195 345859 132921 873818 358877 
864405 925819 686148 781302 575743 313798 644397 862533 351950 368166 ,549465 523530 421100 351847 576731 285853 317757 830787 262189 548637 
494094 107713 102081 652750 375078 884950 666797 230067 457485 837626 ,730246 539609 796374 316255 892668 240472 241031 963604 622621 251336 
267829 8828 845904 16722 651852 938015 254928 204546 332869 555908 ,80629 891372 73475 42184 651852 726313 398765 327661 645352 627457 
100496 467931 915223 210214 617177 636826 234162 615364 495030 1550 ,923706 206559 352913 271341 348032 96815 98463 518496 555711 348882 
219082 635046 159894 231164 974548 648567 935707 997767 348710 84844 ,32282 834048 774793 212313 972124 962057 725982 748742 943358 714970 
698478 33657 254928 528918 654394 432879 170280 619986 326715 308637 ,975229 91375 654394 135576 317930 77456 335768 747377 170280 916266 
659613 523176 911677 338233 869345 782408 315308 386729 970760 211828 ,659613 444474 782408 916060 935950 824042 684240 607386 103817 445645 
59029 233878 656891 207608 207077 301307 552190 191196 667048 906581 ,643077 887584 446176 641844 536406 887850 896882 657642 643814 656871 
105156 30245 437003 978846 429991 742221 297000 136532 25316 367417 ,763179 89259 905162 754242 507228 432306 825494 829491 903190 283537 
827499 665116 411888 531690 212747 784343 909448 848871 714954 825257 ,411888 38387 411903 886153 476963 6003 315503 561972 901260 602759 
568322 411842 116843 728292 34879 243026 895459 144784 38484 655351 ,830464 863567 862973 404732 831993 661071 35598 116843 757621 612760 
500558 770844 320916 696457 436645 810889 780650 719587 729177 960042 ,5449 662398 372219 672537 855234 648252 150664 117716 673059 668730 
12027 882925 380163 839151 154764 399284 895666 297375 887367 640368 ,113537 62127 370042 845569 173797 392147 81492 286442 621864 601812 
889095 931877 932389 690733 226730 482138 842271 836166 450451 393065 ,997059 848818 850925 852239 854794 858717 997058 545462 846844 996909 
905442 756342 99226 500558 130138 538689 868519 450451 895459 210540 ,996900 867730 996909 854855 867743 443809 852660 190532 867685 190894 
351913 862533 698478 100496 281594 742221 136532 997991 864405 58974 ,62141 768753 924173 548867 806142 261665 872611 208392 245451 386174 
528918 698478 608670 267829 16722 513843 30466 997991 336859 926940 ,503520 759780 500793 389826 326378 351379 389851 932468 529009 150374 
125260 490300 627330 990135 341595 381568 102818 677012 81635 345891 ,125260 677012 81635 490300 990135 345891 341595 243924 381568 220929 
352465 793605 450451 591380 361119 578043 743616 434873 179118 249055 ,352465 374443 320916 307653 500558 478305 919967 520645 568193 793605 
655625 159915 514794 206215 672668 740783 833769 7366 229285 673199 ,655625 739335 593430 191815 218025 674019 899922 912936 755783 101840 
172317 576236 523176 289288 367417 136532 535070 656683 297000 417726 ,100161 45804 758660 972047 191182 191053 403181 190990 876773 443001 
793722 314383 898325 334780 289288 329385 22965 514088 617177 332869 ,445471 627915 618341 106771 355017 793722 813031 168982 312265 291535 
498272 204546 487962 768341 329655 661451 735337 912308 822117 739188 ,672708 416054 204546 337093 555495 716136 539574 487962 768341 354462 
642378 992273 698478 192427 386729 448322 887669 281178 560985 57783 ,774132 884695 41037 119657 914658 902016 190010 606270 836601 832070 
102818 827499 848871 404407 692000 411391 62879 340517 62798 243026 ,997913 974137 588263 576888 997735 992940 574026 36148 259374 757715 
682829 740760 137972 222581 471902 705483 472397 366433 490209 616003 ,832644 487475 957990 113232 762056 473991 554847 449179 292791 560485 
128601 362577 698478 522276 635099 742221 537778 508557 414491 327424 ,2140 748619 597270 533321 467667 465363 549012 170119 127511 537778 
686805 732286 542272 317253 934457 879178 594444 12759 372097 20148 ,597107 670858 574205 87670 223958 707408 461786 249623 454652 63659 
8828 488761 627915 824226 309759 536312 933947 204546 463411 324330 ,211396 637146 238206 338286 971814 364626 200388 274393 200621 650634 
45038 153516 441918 941752 870587 450451 248203 638959 352465 889095 ,248203 38513 638959 352465 890066 22384 846718 677252 821774 226498 
674257 423773 873870 378638 66421 563310 767861 38919 378496 797532 ,84497 207419 799965 793666 768170 824277 945212 49889 99582 832724 
390739 267894 745955 920647 970530 290425 59382 949389 128539 12953 ,961382 862083 682463 21437 197869 753372 425956 74926 411652 390739 
210926 821040 518504 539392 417502 617177 820658 873679 414491 354003 ,53197 112359 790990 29426 446874 353738 163684 180949 942057 54329 
128847 500558 297636 690101 588387 450451 370538 770844 19375 201687 ,626300 1599 238099 299211 22870 868170 178960 585611 734686 580695 
861642 631088 414491 362577 978846 605671 218039 318438 59866 215632 ,768306 710501 768141 793183 38860 216039 785518 48881 870182 189309 
332869 966958 389930 955712 294597 793722 629982 429704 531166 329385 ,610061 785011 763792 982422 389877 130334 854500 66810 527735 248048 
163965 610345 254297 232776 856708 654226 469821 621320 634323 219082 ,923797 638600 759729 830476 980153 759147 624776 830510 604725 28898 
848871 370847 293444 881863 626296 450451 331432 230396 98163 972167 ,293103 144063 38948 1382 293444 166622 976988 544923 283006 137905 
742221 638645 631862 57401 772671 520877 743280 50999 283158 11924 ,442731 955500 98764 187092 652522 631862 538493 892641 606595 631281 
560726 531166 517056 62407 617177 792073 514088 46168 189435 365174 ,983551 560726 659613 441029 531166 195289 326725 599177 349406 517056 
901547 198529 102818 521126 848871 886142 62879 304056 184589 692000 ,668533 535955 998354 997216 203105 152792 770041 726346 887861 924409 
332869 329385 8828 229136 600758 793722 16722 710408 357730 421614 ,834820 654304 518326 508136 955262 8828 655902 229136 600758 835191 
2090 102191 63810 197274 875997 683142 680210 823796 821069 680995 ,800407 938230 118302 304140 235762 827043 184318 116997 16357 246356 
500558 12992 434873 128847 905656 320916 606027 201687 317816 563015 ,310163 141047 318248 596651 659951 149306 500558 1984 12992 434873 
33608 574508 399302 754330 672486 83333 725840 544029 817811 192565 ,278962 624960 364003 188942 157018 700052 363757 661875 33608 433716 
450451 548549 770844 361119 595529 972167 480316 210167 857943 565986 ,905189 809072 795381 210736 497494 998874 649670 407973 49928 913074 
487962 627915 569815 910127 946303 566229 258115 99680 192654 704379 ,452562 884550 636577 480760 919202 310694 760198 97491 432755 256152 
523176 590441 218615 326715 244168 720199 386729 645128 712709 67119 ,169815 96848 378546 725877 389700 533606 96219 523308 306950 663900 
627800 480452 390187 479838 30466 742221 32352 267829 525272 636826 ,353041 540682 518266 58969 800747 859421 352293 236942 515173 658165 
8828 495030 518085 566262 16722 415294 510313 262964 294597 636826 ,966149 337182 615106 431665 615500 20893 500109 551718 630310 188871 
890503 288194 251462 781572 604317 295582 318800 817744 933754 714954 ,385095 406652 850355 945205 539165 541926 600325 442689 559480 385128 
476785 500558 702274 651848 128847 296299 969085 759920 955020 374907 ,201947 266225 635590 745546 976089 662555 607625 480265 633211 284571 
636826 824226 16722 979573 527344 667048 915141 627800 518085 113008 ,527344 661722 770378 654803 450071 806415 667048 657642 561481 655930 
30466 267829 911677 168062 617177 386729 269750 416441 306383 75460 ,158306 725467 631828 498827 713982 84335 306383 809503 610138 323431 
810468 503418 309759 159032 974097 170602 125310 323682 915316 849046 ,151368 195620 516439 132040 960990 698634 429779 400721 338033 701829 
944559 432879 519715 80957 136532 566262 338233 254928 467931 18684 ,714014 804910 721162 714655 831923 312289 987240 466268 330813 965505 
834567 416141 820658 41404 418618 354520 291880 532162 547724 467931 ,825538 710449 362407 116604 93521 534515 151912 438834 190483 663667 
340517 842271 862254 644849 531690 836748 614565 60379 425492 632337 ,997491 839349 979602 640613 877515 640484 894452 217236 837664 881086 
165764 531364 859393 678679 13238 311012 629929 414294 10497 510313 ,91767 338087 323192 83286 111429 289445 504220 526117 69545 614314 
294597 434970 342660 199800 107069 332869 249055 911677 18684 534872 ,182741 727294 721507 234219 665655 617724 346340 809206 840762 423695 
842352 429099 523176 987208 665039 351036 754281 432879 519715 126493 ,132449 81574 104840 280337 535022 20762 78906 524877 364114 104784 
426663 933947 667048 228130 503298 451647 684966 281911 461244 262964 ,517350 326945 519829 517589 37278 474611 517778 520149 518041 645273 
203665 704719 481858 746215 276190 885797 482907 960036 974178 244992 ,288253 929695 14953 967728 400789 20845 491758 833224 483214 198887 
390187 509326 332869 742221 294597 698478 80802 229136 357730 295957 ,90086 832416 94259 823745 305594 894094 261999 634518 87081 91254 
667048 16722 757444 262964 451647 64451 416441 233741 267829 234749 ,112537 310466 858224 337258 279181 123315 372280 406942 30866 309191 
617177 30466 386729 332869 25316 467931 513843 698478 267829 136532 ,34173 35394 107777 779901 478756 123122 150496 598301 30343 19947 
770844 62798 842271 62879 987336 369124 856836 644421 979419 862379 ,202371 268845 561204 480100 201118 942710 844141 224710 413448 929890 
993716 318800 15692 458452 923217 641581 921772 184589 905442 854562 ,696914 541317 966233 960281 432196 100773 271118 913231 31185 909576 
386729 495030 586011 733343 525240 518504 415294 960161 8828 398341 ,427047 581111 106349 94446 245523 682078 619019 170024 554635 130505 
279910 291903 180506 598401 321482 363947 524817 703089 60023 743838 ,90322 363852 279467 89450 389988 747679 280895 693981 389897 830114 
574114 247825 503698 106335 595947 261244 855074 485380 931884 218480 ,596735 810001 800654 19133 560887 834280 60421 906054 877567 336408 
509326 576153 279440 590441 332869 535070 411131 41287 94099 30564 ,514161 827713 112967 94512 710358 30564 912363 578530 72315 607069 
285473 821040 100496 313798 742221 437003 509326 105103 56020 172317 ,723045 391904 457311 886716 817890 748739 994634 427104 632254 93957 
742221 332869 849653 531364 915223 45568 509326 41404 725467 894693 ,293099 279908 720108 278829 308272 961166 212045 279852 278722 52195 
414491 553407 136532 362577 549165 560985 265131 501456 242816 83127 ,304068 237147 497522 921671 351191 557598 75179 688029 581999 979621 
432879 529605 502234 719929 22261 96003 958499 732234 698478 351913 ,665664 86788 315762 121916 86999 426706 121977 30718 304994 788791 
509335 500558 842271 62879 361119 450451 476785 107713 128847 770844 ,247876 658640 551582 69409 247468 124994 247265 225603 860006 16923 
896703 47226 100900 103344 856912 843984 574568 550816 390920 955739 ,561074 820092 274383 773723 271895 407109 531648 895566 123018 544386 
856836 836001 326494 882623 986313 932914 562260 651848 962783 624125 ,353539 556126 59264 503437 561074 669098 390191 50343 188049 478940 
590441 94099 694849 432879 501108 911177 105103 834507 720199 947061 ,629205 248048 512460 280629 430354 282260 629495 125085 285312 41903 
531364 400647 822627 201000 936409 489744 966787 749879 910811 576493 ,311237 357211 346574 184175 805389 941045 788087 461629 273573 123715 
946303 315308 41287 712709 62407 590441 535070 19912 89280 16803 ,111647 522538 212614 212514 437845 60894 599448 130620 82062 238236 
541839 642376 197414 691205 516149 590876 587809 196475 238254 920647 ,345301 394693 717261 23333 193088 271904 479600 255820 260542 542241 
574887 317595 62879 960656 633608 226984 469374 710969 420092 987344 ,202937 229222 357422 76032 885687 998004 658763 101215 795381 202251 
290740 308802 172317 483155 865883 285473 289288 169903 509326 126956 ,393759 771411 187705 151417 169903 702584 290740 403517 308802 533858 
112915 842271 89049 739013 34589 491808 343295 230396 77746 226459 ,644317 643155 824841 313847 886407 640120 545785 3427 272367 140975 
719089 458019 46854 446713 527344 43774 428452 4692 637739 989841 ,788822 884503 483124 241988 354229 627800 549426 502410 717821 785075 
8828 204546 487962 510313 793722 351913 616369 473396 398341 997991 ,689961 16573 913871 410627 616369 78113 267618 789798 188711 795292 
